filename;sex;session;group;VideoFile;animal_ID
TFS1EX2_12DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_12.mp4;12
TFS1EX2_13DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_13.mp4;13
TFS1EX2_14DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_14.mp4;14
TFS1EX2_15DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_15.mp4;15
TFS1EX2_16DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_16.mp4;16
TFS1EX2_17DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_17.mp4;17
TFS1EX2_18DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_18.mp4;18
TFS1EX2_19DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_19.mp4;19
TFS1EX2_20DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_20.mp4;20
TFS1EX2_21DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_21.mp4;21
TFS1EX2_22DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_22.mp4;22
TFS1EX2_23DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_23.mp4;23
TFS1EX2_24DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_24.mp4;24
TFS1EX2_25DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_25.mp4;25
TFS1EX2_26DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_26.mp4;26
TFS1EX2_27DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_27.mp4;27
TFS1EX2_28DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_28.mp4;28
TFS1EX2_29DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_29.mp4;29
TFS1EX2_30DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_30.mp4;30
TFS1EX2_31DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_31.mp4;31
TFS1EX2_32DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_32.mp4;32
TFS1EX2_33DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_33.mp4;33
TFS1EX2_34DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;Ctrl;TFS1EX2_34.mp4;34
TFS1EX2_35DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX2;IFS;TFS1EX2_35.mp4;35
TFS1EX3_1DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_1.mp4;1
TFS1EX3_2DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_2.mp4;2
TFS1EX3_3DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_3.mp4;3
TFS1EX3_4DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_4.mp4;4
TFS1EX3_5DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_5.mp4;5
TFS1EX3_6DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_6.mp4;6
TFS1EX3_7DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_7.mp4;7
TFS1EX3_8DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_8.mp4;8
TFS1EX3_9DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_9.mp4;9
TFS1EX3_10DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_10.mp4;10
TFS1EX3_11DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_11.mp4;11
TFS1EX3_12DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_12.mp4;12
TFS1EX3_13DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_13.mp4;13
TFS1EX3_14DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_14.mp4;14
TFS1EX3_15DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_15.mp4;15
TFS1EX3_16DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_16.mp4;16
TFS1EX3_17DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_17.mp4;17
TFS1EX3_18DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_18.mp4;18
TFS1EX3_19DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_19.mp4;19
TFS1EX3_20DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_20.mp4;20
TFS1EX3_21DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_21.mp4;21
TFS1EX3_22DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_22.mp4;22
TFS1EX3_23DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_23.mp4;23
TFS1EX3_24DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_24.mp4;24
TFS1EX3_25DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_25.mp4;25
TFS1EX3_26DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_26.mp4;26
TFS1EX3_27DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_27.mp4;27
TFS1EX3_28DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_28.mp4;28
TFS1EX3_29DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_29.mp4;29
TFS1EX3_30DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_30.mp4;30
TFS1EX3_31DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_31.mp4;31
TFS1EX3_32DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_32.mp4;32
TFS1EX3_33DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_33.mp4;33
TFS1EX3_34DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;Ctrl;TFS1EX3_34.mp4;34
TFS1EX3_35DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX3;IFS;TFS1EX3_35.mp4;35
TFS1EX4_1DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;IFS;TFS1EX4_1.mp4;1
TFS1EX4_2DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;Ctrl;TFS1EX4_2.mp4;2
TFS1EX4_3DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;Ctrl;TFS1EX4_3.mp4;3
TFS1EX4_4DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;IFS;TFS1EX4_4.mp4;4
TFS1EX4_5DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;Ctrl;TFS1EX4_5.mp4;5
TFS1EX4_6DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;IFS;TFS1EX4_6.mp4;6
TFS1EX4_7DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;IFS;TFS1EX4_7.mp4;7
TFS1EX4_8DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;Ctrl;TFS1EX4_8.mp4;8
TFS1EX4_9DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;Ctrl;TFS1EX4_9.mp4;9
TFS1EX4_10DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;IFS;TFS1EX4_10.mp4;10
TFS1EX4_11DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;Ctrl;TFS1EX4_11.mp4;11
TFS1EX4_12DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;IFS;TFS1EX4_12.mp4;12
TFS1EX4_13DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;IFS;TFS1EX4_13.mp4;13
TFS1EX4_14DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;Ctrl;TFS1EX4_14.mp4;14
TFS1EX4_15DLC_resnet50_OFFICAL_TSE_SHOCKBOX_NETWORKAug16shuffle1_1030000.csv;M;EX4;IFS;TFS1EX4_15.mp4;15
